Tag;FormatedTag;Group;Element;VR;Name
00080062;(0008,0062);0008;0062;UI;SOP Classes in Study
00080064;(0008,0064);0008;0064;CS;Conversion Type
00080068;(0008,0068);0008;0068;CS;Presentation Intent Type
00080070;(0008,0070);0008;0070;LO;Manufacturer
00080080;(0008,0080);0008;0080;LO;Institution Name
00080081;(0008,0081);0008;0081;ST;Institution Address
00080082;(0008,0082);0008;0082;SQ;Institution Code Sequence
00080090;(0008,0090);0008;0090;PN;Referring Physician's Name
00080092;(0008,0092);0008;0092;ST;Referring Physician's Address
00080094;(0008,0094);0008;0094;SH;Referring Physician's Telephone Numbers
00080096;(0008,0096);0008;0096;SQ;Referring Physician Identification Sequence
0008009C;(0008,009C);0008;009C;PN;Consulting Physician's Name
0008009D;(0008,009D);0008;009D;SQ;Consulting Physician Identification Sequence
00080100;(0008,0100);0008;0100;SH;Code Value
00080101;(0008,0101);0008;0101;LO;Extended Code Value
00080102;(0008,0102);0008;0102;SH;Coding Scheme Designator
00080103;(0008,0103);0008;0103;SH;Coding Scheme Version
00080104;(0008,0104);0008;0104;LO;Code Meaning
00080105;(0008,0105);0008;0105;CS;Mapping Resource
00080106;(0008,0106);0008;0106;DT;Context Group Version
00080107;(0008,0107);0008;0107;DT;Context Group Local Version
00080108;(0008,0108);0008;0108;LT;Extended Code Meaning
0008010B;(0008,010B);0008;010B;CS;Context Group Extension Flag
0008010C;(0008,010C);0008;010C;UI;Coding Scheme UID
0008010D;(0008,010D);0008;010D;UI;Context Group Extension Creator UID
0008010F;(0008,010F);0008;010F;CS;Context Identifier
00080110;(0008,0110);0008;0110;SQ;Coding Scheme Identification Sequence
00080112;(0008,0112);0008;0112;LO;Coding Scheme Registry
00080114;(0008,0114);0008;0114;ST;Coding Scheme External ID
00080115;(0008,0115);0008;0115;ST;Coding Scheme Name
00080116;(0008,0116);0008;0116;ST;Coding Scheme Responsible Organization
00080117;(0008,0117);0008;0117;UI;Context UID
00080118;(0008,0118);0008;0118;UI;Mapping Resource UID
00080119;(0008,0119);0008;0119;UC;Long Code Value
00080120;(0008,0120);0008;0120;UR;URN Code Value
00080121;(0008,0121);0008;0121;SQ;Equivalent Code Sequence
00080122;(0008,0122);0008;0122;LO;Mapping Resource Name
00080123;(0008,0123);0008;0123;SQ;Context Group Identification Sequence
00080124;(0008,0124);0008;0124;SQ;Mapping Resource Identification Sequence
00080201;(0008,0201);0008;0201;SH;Timezone Offset From UTC
00080300;(0008,0300);0008;0300;SQ;Private Data Element Characteristics Sequence
00080301;(0008,0301);0008;0301;US;Private Group Reference
00080302;(0008,0302);0008;0302;LO;Private Creator Reference
00080303;(0008,0303);0008;0303;CS;Block Identifying Information Status
00080304;(0008,0304);0008;0304;US;Nonidentifying Private Elements
00080306;(0008,0306);0008;0306;US;Identifying Private Elements
00080305;(0008,0305);0008;0305;SQ;Deidentification Action Sequence
00080307;(0008,0307);0008;0307;CS;Deidentification Action
00081010;(0008,1010);0008;1010;SH;Station Name
00081030;(0008,1030);0008;1030;LO;Study Description
00081032;(0008,1032);0008;1032;SQ;Procedure Code Sequence
0008103E;(0008,103E);0008;103E;LO;Series Description
0008103F;(0008,103F);0008;103F;SQ;Series Description Code Sequence
00081040;(0008,1040);0008;1040;LO;Institutional Department Name
00081048;(0008,1048);0008;1048;PN;Physician(s) of Record
00081049;(0008,1049);0008;1049;SQ;Physician(s) of Record Identification Sequence
00081050;(0008,1050);0008;1050;PN;Performing Physician's Name
00081052;(0008,1052);0008;1052;SQ;Performing Physician Identification Sequence
00081060;(0008,1060);0008;1060;PN;Name of Physician(s) Reading Study
00081062;(0008,1062);0008;1062;SQ;Physician(s) Reading Study Identification Sequence
00081070;(0008,1070);0008;1070;PN;Operators' Name
00081072;(0008,1072);0008;1072;SQ;Operator Identification Sequence
00081080;(0008,1080);0008;1080;LO;Admitting Diagnoses Description
00081084;(0008,1084);0008;1084;SQ;Admitting Diagnoses Code Sequence
00081090;(0008,1090);0008;1090;LO;Manufacturer's Model Name
00081110;(0008,1110);0008;1110;SQ;Referenced Study Sequence
00081111;(0008,1111);0008;1111;SQ;Referenced Performed Procedure Step Sequence
00081115;(0008,1115);0008;1115;SQ;Referenced Series Sequence
00081120;(0008,1120);0008;1120;SQ;Referenced Patient Sequence
00081125;(0008,1125);0008;1125;SQ;Referenced Visit Sequence
00081134;(0008,1134);0008;1134;SQ;Referenced Stereometric Instance Sequence
0008113A;(0008,113A);0008;113A;SQ;Referenced Waveform Sequence
00081140;(0008,1140);0008;1140;SQ;Referenced Image Sequence
0008114A;(0008,114A);0008;114A;SQ;Referenced Instance Sequence
0008114B;(0008,114B);0008;114B;SQ;Referenced Real World Value Mapping Instance Sequence
00081150;(0008,1150);0008;1150;UI;Referenced SOP Class UID
00081155;(0008,1155);0008;1155;UI;Referenced SOP Instance UID
0008115A;(0008,115A);0008;115A;UI;SOP Classes Supported
00081160;(0008,1160);0008;1160;IS;Referenced Frame Number
00081161;(0008,1161);0008;1161;UL;Simple Frame List
00081162;(0008,1162);0008;1162;UL;Calculated Frame List
00081163;(0008,1163);0008;1163;FD;Time Range
00081164;(0008,1164);0008;1164;SQ;Frame Extraction Sequence
00081167;(0008,1167);0008;1167;UI;Multi-frame Source SOP Instance UID
00081190;(0008,1190);0008;1190;UR;Retrieve URL
00081195;(0008,1195);0008;1195;UI;Transaction UID
00081196;(0008,1196);0008;1196;US;Warning Reason
00081197;(0008,1197);0008;1197;US;Failure Reason
00081198;(0008,1198);0008;1198;SQ;Failed SOP Sequence
00081199;(0008,1199);0008;1199;SQ;Referenced SOP Sequence
0008119A;(0008,119A);0008;119A;SQ;Other Failures Sequence
00081200;(0008,1200);0008;1200;SQ;Studies Containing Other Referenced Instances Sequence
00081250;(0008,1250);0008;1250;SQ;Related Series Sequence
00082111;(0008,2111);0008;2111;ST;Derivation Description
00082112;(0008,2112);0008;2112;SQ;Source Image Sequence
00082120;(0008,2120);0008;2120;SH;Stage Name
00082122;(0008,2122);0008;2122;IS;Stage Number
00082124;(0008,2124);0008;2124;IS;Number of Stages
00082127;(0008,2127);0008;2127;SH;View Name
00082128;(0008,2128);0008;2128;IS;View Number
00082129;(0008,2129);0008;2129;IS;Number of Event Timers
0008212A;(0008,212A);0008;212A;IS;Number of Views in Stage
00082130;(0008,2130);0008;2130;DS;Event Elapsed Time(s)
00082132;(0008,2132);0008;2132;LO;Event Timer Name(s)
00082133;(0008,2133);0008;2133;SQ;Event Timer Sequence
00082134;(0008,2134);0008;2134;FD;Event Time Offset
00082135;(0008,2135);0008;2135;SQ;Event Code Sequence
00082142;(0008,2142);0008;2142;IS;Start Trim
00082143;(0008,2143);0008;2143;IS;Stop Trim
00082144;(0008,2144);0008;2144;IS;Recommended Display Frame Rate
00082218;(0008,2218);0008;2218;SQ;Anatomic Region Sequence
00082220;(0008,2220);0008;2220;SQ;Anatomic Region Modifier Sequence
00082228;(0008,2228);0008;2228;SQ;Primary Anatomic Structure Sequence
00082229;(0008,2229);0008;2229;SQ;Anatomic Structure, Space or Region Sequence
00082230;(0008,2230);0008;2230;SQ;Primary Anatomic Structure Modifier Sequence
00083001;(0008,3001);0008;3001;SQ;Alternate Representation Sequence
00083010;(0008,3010);0008;3010;UI;Irradiation Event UID
00083011;(0008,3011);0008;3011;SQ;Source Irradiation Event Sequence
00083012;(0008,3012);0008;3012;UI;Radiopharmaceutical Administration Event UID
00089007;(0008,9007);0008;9007;CS;Frame Type
00089092;(0008,9092);0008;9092;SQ;Referenced Image Evidence Sequence
00089121;(0008,9121);0008;9121;SQ;Referenced Raw Data Sequence
00089123;(0008,9123);0008;9123;UI;Creator-Version UID
00089124;(0008,9124);0008;9124;SQ;Derivation Image Sequence
00089154;(0008,9154);0008;9154;SQ;Source Image Evidence Sequence
00089205;(0008,9205);0008;9205;CS;Pixel Presentation
00089206;(0008,9206);0008;9206;CS;Volumetric Properties
00089207;(0008,9207);0008;9207;CS;Volume Based Calculation Technique
00089208;(0008,9208);0008;9208;CS;Complex Image Component
00089209;(0008,9209);0008;9209;CS;Acquisition Contrast
00089215;(0008,9215);0008;9215;SQ;Derivation Code Sequence
00089237;(0008,9237);0008;9237;SQ;Referenced Presentation State Sequence
00089410;(0008,9410);0008;9410;SQ;Referenced Other Plane Sequence
00089458;(0008,9458);0008;9458;SQ;Frame Display Sequence
00089459;(0008,9459);0008;9459;FL;Recommended Display Frame Rate in Float
00089460;(0008,9460);0008;9460;CS;Skip Frame Range Flag
00100010;(0010,0010);0010;0010;PN;Patient's Name
00100020;(0010,0020);0010;0020;LO;Patient ID
00100021;(0010,0021);0010;0021;LO;Issuer of Patient ID
00100022;(0010,0022);0010;0022;CS;Type of Patient ID
00100024;(0010,0024);0010;0024;SQ;Issuer of Patient ID Qualifiers Sequence
00100026;(0010,0026);0010;0026;SQ;Source Patient Group Identification Sequence
00100027;(0010,0027);0010;0027;SQ;Group of Patients Identification Sequence
00100028;(0010,0028);0010;0028;US;Subject Relative Position in Image
00100030;(0010,0030);0010;0030;DA;Patient's Birth Date
00100032;(0010,0032);0010;0032;TM;Patient's Birth Time
00100033;(0010,0033);0010;0033;LO;Patient's Birth Date in Alternative Calendar
00100034;(0010,0034);0010;0034;LO;Patient's Death Date in Alternative Calendar
00100035;(0010,0035);0010;0035;CS;Patient's Alternative Calendar
00100040;(0010,0040);0010;0040;CS;Patient's Sex
00100050;(0010,0050);0010;0050;SQ;Patient's Insurance Plan Code Sequence
00100101;(0010,0101);0010;0101;SQ;Patient's Primary Language Code Sequence
00100102;(0010,0102);0010;0102;SQ;Patient's Primary Language Modifier Code Sequence
00100200;(0010,0200);0010;0200;CS;Quality Control Subject
00100201;(0010,0201);0010;0201;SQ;Quality Control Subject Type Code Sequence
00100212;(0010,0212);0010;0212;UC;Strain Description
00100213;(0010,0213);0010;0213;LO;Strain Nomenclature
00100214;(0010,0214);0010;0214;LO;Strain Stock Number
00100215;(0010,0215);0010;0215;SQ;Strain Source Registry Code Sequence
00100216;(0010,0216);0010;0216;SQ;Strain Stock Sequence
00100217;(0010,0217);0010;0217;LO;Strain Source
00100218;(0010,0218);0010;0218;UT;Strain Additional Information
00100219;(0010,0219);0010;0219;SQ;Strain Code Sequence
00101000;(0010,1000);0010;1000;LO;Other Patient IDs
00101001;(0010,1001);0010;1001;PN;Other Patient Names
00101002;(0010,1002);0010;1002;SQ;Other Patient IDs Sequence
00101005;(0010,1005);0010;1005;PN;Patient's Birth Name
00101010;(0010,1010);0010;1010;AS;Patient's Age
00101020;(0010,1020);0010;1020;DS;Patient's Size
00101021;(0010,1021);0010;1021;SQ;Patient's Size Code Sequence
00101030;(0010,1030);0010;1030;DS;Patient's Weight
00101040;(0010,1040);0010;1040;LO;Patient's Address
00101060;(0010,1060);0010;1060;PN;Patient's Mother's Birth Name
00101080;(0010,1080);0010;1080;LO;Military Rank
00101081;(0010,1081);0010;1081;LO;Branch of Service
00101090;(0010,1090);0010;1090;LO;Medical Record Locator
00101100;(0010,1100);0010;1100;SQ;Referenced Patient Photo Sequence
00102000;(0010,2000);0010;2000;LO;Medical Alerts
00102110;(0010,2110);0010;2110;LO;Allergies
00102150;(0010,2150);0010;2150;LO;Country of Residence
00102152;(0010,2152);0010;2152;LO;Region of Residence
00102154;(0010,2154);0010;2154;SH;Patient's Telephone Numbers
00102155;(0010,2155);0010;2155;LT;Patient's Telecom Information
00102160;(0010,2160);0010;2160;SH;Ethnic Group
00102180;(0010,2180);0010;2180;SH;Occupation
001021A0;(0010,21A0);0010;21A0;CS;Smoking Status
001021B0;(0010,21B0);0010;21B0;LT;Additional Patient History
001021C0;(0010,21C0);0010;21C0;US;Pregnancy Status
001021D0;(0010,21D0);0010;21D0;DA;Last Menstrual Date
001021F0;(0010,21F0);0010;21F0;LO;Patient's Religious Preference
00102201;(0010,2201);0010;2201;LO;Patient Species Description
00102202;(0010,2202);0010;2202;SQ;Patient Species Code Sequence
00102203;(0010,2203);0010;2203;CS;Patient's Sex Neutered
00102210;(0010,2210);0010;2210;CS;Anatomical Orientation Type
00102292;(0010,2292);0010;2292;LO;Patient Breed Description
00102293;(0010,2293);0010;2293;SQ;Patient Breed Code Sequence
00102294;(0010,2294);0010;2294;SQ;Breed Registration Sequence
00102295;(0010,2295);0010;2295;LO;Breed Registration Number
00102296;(0010,2296);0010;2296;SQ;Breed Registry Code Sequence
00102297;(0010,2297);0010;2297;PN;Responsible Person
00102298;(0010,2298);0010;2298;CS;Responsible Person Role
00102299;(0010,2299);0010;2299;LO;Responsible Organization
00104000;(0010,4000);0010;4000;LT;Patient Comments
00109431;(0010,9431);0010;9431;FL;Examined Body Thickness
00120010;(0012,0010);0012;0010;LO;Clinical Trial Sponsor Name
00120020;(0012,0020);0012;0020;LO;Clinical Trial Protocol ID
00120021;(0012,0021);0012;0021;LO;Clinical Trial Protocol Name
00120030;(0012,0030);0012;0030;LO;Clinical Trial Site ID
00120031;(0012,0031);0012;0031;LO;Clinical Trial Site Name
00120040;(0012,0040);0012;0040;LO;Clinical Trial Subject ID
00120042;(0012,0042);0012;0042;LO;Clinical Trial Subject Reading ID
00120050;(0012,0050);0012;0050;LO;Clinical Trial Time Point ID
00120051;(0012,0051);0012;0051;ST;Clinical Trial Time Point Description
00120060;(0012,0060);0012;0060;LO;Clinical Trial Coordinating Center Name
00120062;(0012,0062);0012;0062;CS;Patient Identity Removed
00120063;(0012,0063);0012;0063;LO;De-identification Method
00120064;(0012,0064);0012;0064;SQ;De-identification Method Code Sequence
00120071;(0012,0071);0012;0071;LO;Clinical Trial Series ID
00120072;(0012,0072);0012;0072;LO;Clinical Trial Series Description
00120081;(0012,0081);0012;0081;LO;Clinical Trial Protocol Ethics Committee Name
00120082;(0012,0082);0012;0082;LO;Clinical Trial Protocol Ethics Committee Approval Number
00120083;(0012,0083);0012;0083;SQ;Consent for Clinical Trial Use Sequence
00120084;(0012,0084);0012;0084;CS;Distribution Type
00120085;(0012,0085);0012;0085;CS;Consent for Distribution Flag
00140025;(0014,0025);0014;0025;ST;Component Manufacturing Procedure
00140028;(0014,0028);0014;0028;ST;Component Manufacturer
00140030;(0014,0030);0014;0030;DS;Material Thickness
00140032;(0014,0032);0014;0032;DS;Material Pipe Diameter
00140034;(0014,0034);0014;0034;DS;Material Isolation Diameter
00140042;(0014,0042);0014;0042;ST;Material Grade
00140044;(0014,0044);0014;0044;ST;Material Properties Description
00140046;(0014,0046);0014;0046;LT;Material Notes
00140050;(0014,0050);0014;0050;CS;Component Shape
00140052;(0014,0052);0014;0052;CS;Curvature Type
00140054;(0014,0054);0014;0054;DS;Outer Diameter
00140056;(0014,0056);0014;0056;DS;Inner Diameter
00140100;(0014,0100);0014;0100;LO;Component Welder IDs
00140101;(0014,0101);0014;0101;CS;Secondary Approval Status
00140102;(0014,0102);0014;0102;DA;Secondary Review Date
00140103;(0014,0103);0014;0103;TM;Secondary Review Time
00140104;(0014,0104);0014;0104;PN;Secondary Reviewer Name
00140105;(0014,0105);0014;0105;ST;Repair ID
00140106;(0014,0106);0014;0106;SQ;Multiple Component Approval Sequence
00140107;(0014,0107);0014;0107;CS;Other Approval Status
00140108;(0014,0108);0014;0108;CS;Other Secondary Approval Status
00141010;(0014,1010);0014;1010;ST;Actual Environmental Conditions
00141020;(0014,1020);0014;1020;DA;Expiry Date
00141040;(0014,1040);0014;1040;ST;Environmental Conditions
00142002;(0014,2002);0014;2002;SQ;Evaluator Sequence
00142004;(0014,2004);0014;2004;IS;Evaluator Number
00142006;(0014,2006);0014;2006;PN;Evaluator Name
00142008;(0014,2008);0014;2008;IS;Evaluation Attempt
00142012;(0014,2012);0014;2012;SQ;Indication Sequence
00142014;(0014,2014);0014;2014;IS;Indication Number
00142016;(0014,2016);0014;2016;SH;Indication Label
00142018;(0014,2018);0014;2018;ST;Indication Description
0014201A;(0014,201A);0014;201A;CS;Indication Type
0014201C;(0014,201C);0014;201C;CS;Indication Disposition
0014201E;(0014,201E);0014;201E;SQ;Indication ROI Sequence
00142030;(0014,2030);0014;2030;SQ;Indication Physical Property Sequence
00142032;(0014,2032);0014;2032;SH;Property Label
00142202;(0014,2202);0014;2202;IS;Coordinate System Number of Axes
00142204;(0014,2204);0014;2204;SQ;Coordinate System Axes Sequence
00142206;(0014,2206);0014;2206;ST;Coordinate System Axis Description
00142208;(0014,2208);0014;2208;CS;Coordinate System Data Set Mapping
0014220A;(0014,220A);0014;220A;IS;Coordinate System Axis Number
0014220C;(0014,220C);0014;220C;CS;Coordinate System Axis Type
0014220E;(0014,220E);0014;220E;CS;Coordinate System Axis Units
00142210;(0014,2210);0014;2210;OB;Coordinate System Axis Values
00142220;(0014,2220);0014;2220;SQ;Coordinate System Transform Sequence
00142222;(0014,2222);0014;2222;ST;Transform Description
00142224;(0014,2224);0014;2224;IS;Transform Number of Axes
00142226;(0014,2226);0014;2226;IS;Transform Order of Axes
00142228;(0014,2228);0014;2228;CS;Transformed Axis Units
0014222A;(0014,222A);0014;222A;DS;Coordinate System Transform Rotation and Scale Matrix
0014222C;(0014,222C);0014;222C;DS;Coordinate System Transform Translation Matrix
00143011;(0014,3011);0014;3011;DS;Internal Detector Frame Time
00143012;(0014,3012);0014;3012;DS;Number of Frames Integrated
00143020;(0014,3020);0014;3020;SQ;Detector Temperature Sequence
00143022;(0014,3022);0014;3022;ST;Sensor Name
00143024;(0014,3024);0014;3024;DS;Horizontal Offset of Sensor
00143026;(0014,3026);0014;3026;DS;Vertical Offset of Sensor
00143028;(0014,3028);0014;3028;DS;Sensor Temperature
00143040;(0014,3040);0014;3040;SQ;Dark Current Sequence
00143050;(0014,3050);0014;3050;OBorOW;Dark Current Counts
00143060;(0014,3060);0014;3060;SQ;Gain Correction Reference Sequence
00143070;(0014,3070);0014;3070;OBorOW;Air Counts
00143071;(0014,3071);0014;3071;DS;KV Used in Gain Calibration
00143072;(0014,3072);0014;3072;DS;MA Used in Gain Calibration
00143073;(0014,3073);0014;3073;DS;Number of Frames Used for Integration
00143074;(0014,3074);0014;3074;LO;Filter Material Used in Gain Calibration
00143075;(0014,3075);0014;3075;DS;Filter Thickness Used in Gain Calibration
00143076;(0014,3076);0014;3076;DA;Date of Gain Calibration
00143077;(0014,3077);0014;3077;TM;Time of Gain Calibration
00143080;(0014,3080);0014;3080;OB;Bad Pixel Image
00143099;(0014,3099);0014;3099;LT;Calibration Notes
00144002;(0014,4002);0014;4002;SQ;Pulser Equipment Sequence
00144004;(0014,4004);0014;4004;CS;Pulser Type
00144006;(0014,4006);0014;4006;LT;Pulser Notes
00144008;(0014,4008);0014;4008;SQ;Receiver Equipment Sequence
0014400A;(0014,400A);0014;400A;CS;Amplifier Type
0014400C;(0014,400C);0014;400C;LT;Receiver Notes
0014400E;(0014,400E);0014;400E;SQ;Pre-Amplifier Equipment Sequence
0014400F;(0014,400F);0014;400F;LT;Pre-Amplifier Notes
00144010;(0014,4010);0014;4010;SQ;Transmit Transducer Sequence
00144011;(0014,4011);0014;4011;SQ;Receive Transducer Sequence
00144012;(0014,4012);0014;4012;US;Number of Elements
00144013;(0014,4013);0014;4013;CS;Element Shape
00144014;(0014,4014);0014;4014;DS;Element Dimension A
00144015;(0014,4015);0014;4015;DS;Element Dimension B
00144016;(0014,4016);0014;4016;DS;Element Pitch A
00144017;(0014,4017);0014;4017;DS;Measured Beam Dimension A
00144018;(0014,4018);0014;4018;DS;Measured Beam Dimension B
00144019;(0014,4019);0014;4019;DS;Location of Measured Beam Diameter
0014401A;(0014,401A);0014;401A;DS;Nominal Frequency
0014401B;(0014,401B);0014;401B;DS;Measured Center Frequency
0014401C;(0014,401C);0014;401C;DS;Measured Bandwidth
0014401D;(0014,401D);0014;401D;DS;Element Pitch B
00144020;(0014,4020);0014;4020;SQ;Pulser Settings Sequence
00144022;(0014,4022);0014;4022;DS;Pulse Width
00144024;(0014,4024);0014;4024;DS;Excitation Frequency
00144026;(0014,4026);0014;4026;CS;Modulation Type
00144028;(0014,4028);0014;4028;DS;Damping
00144030;(0014,4030);0014;4030;SQ;Receiver Settings Sequence
00144031;(0014,4031);0014;4031;DS;Acquired Soundpath Length
00144032;(0014,4032);0014;4032;CS;Acquisition Compression Type
00144033;(0014,4033);0014;4033;IS;Acquisition Sample Size
00144034;(0014,4034);0014;4034;DS;Rectifier Smoothing
00144035;(0014,4035);0014;4035;SQ;DAC Sequence
00144036;(0014,4036);0014;4036;CS;DAC Type
00144038;(0014,4038);0014;4038;DS;DAC Gain Points
0014403A;(0014,403A);0014;403A;DS;DAC Time Points
0014403C;(0014,403C);0014;403C;DS;DAC Amplitude
00144040;(0014,4040);0014;4040;SQ;Pre-Amplifier Settings Sequence
00144050;(0014,4050);0014;4050;SQ;Transmit Transducer Settings Sequence
00144051;(0014,4051);0014;4051;SQ;Receive Transducer Settings Sequence
00144052;(0014,4052);0014;4052;DS;Incident Angle
00144054;(0014,4054);0014;4054;ST;Coupling Technique
00144056;(0014,4056);0014;4056;ST;Coupling Medium
00144057;(0014,4057);0014;4057;DS;Coupling Velocity
00144058;(0014,4058);0014;4058;DS;Probe Center Location X
00144059;(0014,4059);0014;4059;DS;Probe Center Location Z
0014405A;(0014,405A);0014;405A;DS;Sound Path Length
0014405C;(0014,405C);0014;405C;ST;Delay Law Identifier
00144060;(0014,4060);0014;4060;SQ;Gate Settings Sequence
00144062;(0014,4062);0014;4062;DS;Gate Threshold
00144064;(0014,4064);0014;4064;DS;Velocity of Sound
00144070;(0014,4070);0014;4070;SQ;Calibration Settings Sequence
00144072;(0014,4072);0014;4072;ST;Calibration Procedure
00144074;(0014,4074);0014;4074;SH;Procedure Version
00144076;(0014,4076);0014;4076;DA;Procedure Creation Date
00144078;(0014,4078);0014;4078;DA;Procedure Expiration Date
0014407A;(0014,407A);0014;407A;DA;Procedure Last Modified Date
0014407C;(0014,407C);0014;407C;TM;Calibration Time
0014407E;(0014,407E);0014;407E;DA;Calibration Date
00144080;(0014,4080);0014;4080;SQ;Probe Drive Equipment Sequence
00144081;(0014,4081);0014;4081;CS;Drive Type
00144082;(0014,4082);0014;4082;LT;Probe Drive Notes
00144083;(0014,4083);0014;4083;SQ;Drive Probe Sequence
00144084;(0014,4084);0014;4084;DS;Probe Inductance
00144085;(0014,4085);0014;4085;DS;Probe Resistance
00144086;(0014,4086);0014;4086;SQ;Receive Probe Sequence
00144087;(0014,4087);0014;4087;SQ;Probe Drive Settings Sequence
00144088;(0014,4088);0014;4088;DS;Bridge Resistors
00144089;(0014,4089);0014;4089;DS;Probe Orientation Angle
0014408B;(0014,408B);0014;408B;DS;User Selected Gain Y
0014408C;(0014,408C);0014;408C;DS;User Selected Phase
0014408D;(0014,408D);0014;408D;DS;User Selected Offset X
0014408E;(0014,408E);0014;408E;DS;User Selected Offset Y
00144091;(0014,4091);0014;4091;SQ;Channel Settings Sequence
00144092;(0014,4092);0014;4092;DS;Channel Threshold
0014409A;(0014,409A);0014;409A;SQ;Scanner Settings Sequence
0014409B;(0014,409B);0014;409B;ST;Scan Procedure
0014409C;(0014,409C);0014;409C;DS;Translation Rate X
0014409D;(0014,409D);0014;409D;DS;Translation Rate Y
0014409F;(0014,409F);0014;409F;DS;Channel Overlap
001440A0;(0014,40A0);0014;40A0;LO;Image Quality Indicator Type
001440A1;(0014,40A1);0014;40A1;LO;Image Quality Indicator Material
001440A2;(0014,40A2);0014;40A2;LO;Image Quality Indicator Size
00145002;(0014,5002);0014;5002;IS;LINAC Energy
00145004;(0014,5004);0014;5004;IS;LINAC Output
00145100;(0014,5100);0014;5100;US;Active Aperture
00145101;(0014,5101);0014;5101;DS;Total Aperture
00145102;(0014,5102);0014;5102;DS;Aperture Elevation
00145103;(0014,5103);0014;5103;DS;Main Lobe Angle
00145104;(0014,5104);0014;5104;DS;Main Roof Angle
00145105;(0014,5105);0014;5105;CS;Connector Type
00145106;(0014,5106);0014;5106;SH;Wedge Model Number
00145107;(0014,5107);0014;5107;DS;Wedge Angle Float
00145108;(0014,5108);0014;5108;DS;Wedge Roof Angle
00145109;(0014,5109);0014;5109;CS;Wedge Element 1 Position
0014510A;(0014,510A);0014;510A;DS;Wedge Material Velocity
